Sno,Branch,Value (in Cr),Zone,State,lat,lon,country
403,Champa,8.877530017,Bilashpur,Chhattisgarh,22.050984,82.654138,ind
404,Komana,3.67501378,Bolangir,Odisha,20.5024552,82.6712969,ind
405,Koraput,11.79504584,Jeypore,Odisha,18.80422,82.71387,ind
406,Korba,5.639110615,Bilashpur,Chhattisgarh,22.35784,82.729388,ind
407,Nandapur,5.591879977,Jeypore,Odisha,18.561713,82.736355,ind
408,Raj Khariar,10.80537692,Bolangir,Odisha,20.302501,82.74706,ind
409,Dharmagarh,11.01393641,Bolangir,Odisha,19.871875,82.776082,ind
410,Jharbandh,3.888026285,Sambalpur,Odisha,21.05394351,82.79757274,ind
411,Paikmal,3.853998497,Sambalpur,Odisha,20.919922,82.801767,ind
412,Jaipatna,7.825074345,Bolangir,Odisha,19.474302,82.806496,ind
413,Bansula,10.606273,Raipur,Chhattisgarh,21.26804,82.81989,ind
414,Basna,9.318071895,Raipur,Chhattisgarh,21.280229,82.824174,ind
415,Bhatgaon,5.551093853,Cg Bc,Chhattisgarh,21.649976,82.827059,ind
416,Semiliguda,2.773038519,Jeypore,Odisha,18.708246,82.845237,ind
417,Surajpur,5.732873643,Bilashpur,Chhattisgarh,23.200057,82.871092,ind
418,Udaipur,7.813121578,Bilashpur,Chhattisgarh,22.94456,82.93229,ind
419,Kantabhanji,10.12400963,Bolangir,Odisha,20.466013,82.932928,ind
420,Junagarh,4.341989007,Bolangir,Odisha,19.861949,82.944484,ind
421,Sakti,8.667645245,Bilashpur,Chhattisgarh,22.013991,82.957756,ind
422,Saraipalli,11.1045992,Raipur,Chhattisgarh,21.310505,83.006352,ind
423,Padampur,11.36603527,Sambalpur,Odisha,20.999792,83.07096,ind
424,Sarangarh,2.875647014,Raipur,Chhattisgarh,21.600242,83.078995,ind
425,Kharsia,3.788357633,Cg Bc,Chhattisgarh,21.992794,83.097631,ind
426,Lakshmipur,10.95107116,Jeypore,Odisha,18.9931533,83.1153029,ind
427,Patnagarh,2.665914871,Bolangir,Odisha,20.709035,83.131567,ind
428,Titlagarh,8.68997701,Bolangir,Odisha,20.301559,83.152268,ind
429,Ambikapur,4.244302803,Bilashpur,Chhattisgarh,23.114479,83.192682,ind
430,Dharamjaigarh,4.170236995,Bilashpur,Chhattisgarh,22.46148,83.2041,ind
431,Kesinga,8.543303201,Bolangir,Odisha,20.174649,83.221071,ind
432,Sahjanwa,4.062282966,Gorakhpur,Uttar pradesh,26.76591476,83.22225059,ind
433,Khajani,2.800393997,Gorakhpur,Uttar pradesh,26.65594074,83.2518869,ind
434,Barmakela,6.358609562,Raipur,Chhattisgarh,21.56643,83.25935,ind
435,Gaisilat,3.368636856,Sambalpur,Odisha,20.959864,83.31685,ind
436,Saintala,11.66425597,Bolangir,Odisha,20.4391269,83.344206,ind
437,Gharghoda,2.946037027,Raipur,Chhattisgarh,22.178095,83.345136,ind
438,Narla,11.78890301,Bolangir,Odisha,20.0472706,83.3703722,ind
439,Sohela,10.22695703,Sambalpur,Odisha,21.306826,83.387973,ind
440,Agalpur,9.824533159,Bolangir,Odisha,21.01283686,83.40498196,ind
441,Raigarh,5.007869791,Raipur,Chhattisgarh,21.880919,83.408181,ind
442,Rayagada,8.086472725,Jeypore,Odisha,19.166387,83.416417,ind
443,Pathalgaon,2.58587988,Bilashpur,Chhattisgarh,22.5641,83.459679,ind
444,Bolangir,7.844379456,Bolangir,Odisha,20.702555,83.473283,ind
445,Sitapur,11.15407666,Bilashpur,Chhattisgarh,22.78914,83.49528,ind
446,Nagarutari,11.1781812,Tilaiya,Jharkhand,24.284499,83.497418,ind
447,Chainpur,11.00077911,Patna,Bihar,25.033338,83.503218,ind
448,Muniguda,11.56339277,Jeypore,Odisha,19.618854,83.504947,ind
449,Bhatli,8.696517518,Sambalpur,Odisha,21.465369,83.534717,ind
450,Pipraich,9.468925368,Gorakhpur,Uttar pradesh,26.82844845,83.53625731,ind
451,Dunguripali,7.315540006,Bolangir,Odisha,21.0475445,83.5509886,ind
452,Barpali,7.54752901,Sambalpur,Odisha,21.19793,83.588479,ind
453,Panchagaon,10.6063551,Sambalpur,Odisha,21.78283,83.59565,ind
454,Tarva,4.322775373,Bolangir,Odisha,20.7317002,83.6734049,ind
455,Hemgiri,10.17087541,Sambalpur,Odisha,21.95320496,83.69795736,ind
456,Tumudibandha,6.715327628,Bolangir,Odisha,19.96195041,83.70227839,ind
457,Kantamal,4.705472786,Bolangir,Odisha,20.652218,83.74716,ind
458,Bheden,6.789843011,Sambalpur,Odisha,21.191576,83.752198,ind
459,Attabira,5.575149659,Sambalpur,Odisha,21.368845,83.782008,ind
460,Garhwah,11.09483859,Tilaiya,Jharkhand,24.155795,83.800129,ind
461,Kudra,2.883431264,Patna,Bihar,25.04233,83.80016,ind
462,Binka,11.65012316,Bolangir,Odisha,21.00393,83.80348,ind
463,Gunupur,9.874132503,Jeypore,Odisha,19.069938,83.817354,ind
464,Belpahar,11.8502569,Sambalpur,Odisha,21.830462,83.85234,ind
465,Muhammadganj,3.430736511,Tilaiya,Jharkhand,24.43305413,83.86722559,ind
466,Burla,11.15443957,Sambalpur,Odisha,21.48611,83.88841,ind
467,Sonepur,6.092848387,Bolangir,Odisha,20.836997,83.906517,ind
468,Baliguda,8.484329421,Bolangir,Odisha,20.1988922,83.9135452,ind
469,Kunkuri,2.782097437,Bilashpur,Chhattisgarh,22.732637,83.951574,ind
470,Sambalpur,3.130027879,Sambalpur,Odisha,21.44943,84.008578,ind
471,Jharsuguda,3.363729129,Sambalpur,Odisha,21.838671,84.012539,ind
472,Sasaram,8.489568257,Patna,Bihar,24.9538803,84.0142866,ind
473,Sundargarh,6.84609375,Sambalpur,Odisha,22.112084,84.041764,ind
474,Birmaharajpur,3.942488239,Bolangir,Odisha,20.865759,84.056683,ind
475,Daltonganj,4.937646526,Tilaiya,Jharkhand,24.042992,84.088072,ind
476,Paralakhemundi,3.328786951,Jeypore,Odisha,18.77948,84.088857,ind
477,Bagaha,4.67090935,Motihari,Bihar,27.09937761,84.09112802,ind
478,Dehri,8.952875722,Patna,Bihar,24.91480451,84.15936684,ind
479,Chhatarpur,3.58569755,Tilaiya,Jharkhand,24.3744768,84.19188143,ind
